Receptor,UniGene,Test Ligand Name,NCI,Ki (nM),PubChem,ChEBI,Hot Ligand,Species,Source,Reference 
5-HT6,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR6,CLOZAPINE,N/A,9.5,http://www.ncbi.nlm.nih.gov/pccompound?term=5786-21-0,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=102261,3H-LSD,HUMAN,CLONED,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8522988&dopt=Abstract 
5-HT6,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR6,CLOZAPINE,N/A,9.5,http://www.ncbi.nlm.nih.gov/pccompound?term=5786-21-0,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=102261,3H-LSD,HUMAN,CLONED,http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9430133&dopt=Abstract#http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9430133&dopt=Abstract# 
5-HT6,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR6,CLOZAPINE,N/A,17,http://www.ncbi.nlm.nih.gov/pccompound?term=5786-21-0,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=102261,3H-LSD,HUMAN,CLONED,http://pdsp.med.unc.edu/pdsp.php 
5-HT6,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR6,CLOZAPINE,N/A,14.454,http://www.ncbi.nlm.nih.gov/pccompound?term=5786-21-0,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=102261,3H-LSD,HUMAN,CLONED,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=14645659&dopt=Abstract 
5-HT6,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR6,CLOZAPINE,N/A,17,http://www.ncbi.nlm.nih.gov/pccompound?term=5786-21-0,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=102261,3H-LSD,HUMAN,CLONED,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=12629531&dopt=Abstract 
5-HT6,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR6,CLOZAPINE,N/A,10.471,http://www.ncbi.nlm.nih.gov/pccompound?term=5786-21-0,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=102261,3H-LSD,HUMAN,CLONED,https://www.sciencedirect.com/science/article/pii/S0014299901011888?via%3Dihub 
5-HT6,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR6,CLOZAPINE,N/A,10,http://www.ncbi.nlm.nih.gov/pccompound?term=5786-21-0,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=102261,3H-LSD,HUMAN,CLONED,https://journals.prous.com/journals/servlet/xmlxsl/pk_journals.xml_summaryn_pr?p_JournalId=6&p_RefId=908643 
5-HT6,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR6,CLOZAPINE,N/A,11,http://www.ncbi.nlm.nih.gov/pccompound?term=5786-21-0,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=102261,3H-LSD,HUMAN,CLONED,Hirose  Tsuyoshi.  et. al  2005 
5-HT6,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR6,CLOZAPINE,N/A,4,http://www.ncbi.nlm.nih.gov/pccompound?term=5786-21-0,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=102261,3H-LSD,HUMAN,CLONED,https://www.sciencedirect.com/science/article/pii/S0223523418300023?via%3Dihub#! 
5-HT6,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR6,CLOZAPINE,N/A,9.5,http://www.ncbi.nlm.nih.gov/pccompound?term=5786-21-0,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=102261,3H-LSD,HUMAN,CLONED,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=pubmed&dopt=Abstract&list_uids=12825922&query_hl=2 
5-HT6,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR6,CLOZAPINE,N/A,4,http://www.ncbi.nlm.nih.gov/pccompound?term=5786-21-0,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=102261,3H-LSD,HUMAN,CLONED,https://pubmed.ncbi.nlm.nih.gov/22926225/ 
5-HT6,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR6,CLOZAPINE,N/A,14,http://www.ncbi.nlm.nih.gov/pccompound?term=5786-21-0,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=102261,3H-LSD,HUMAN,CLONED,http://pdsp.med.unc.edu/pdsp.php 
5-HT6,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR6,CLOZAPINE,N/A,11,http://www.ncbi.nlm.nih.gov/pccompound?term=5786-21-0,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=102261,UNDEFINED,HUMAN,UNDEFINED,https://www.ncbi.nlm.nih.gov/pubmed/18595716 
