Receptor,UniGene,Test Ligand Name,NCI,Ki (nM),PubChem,ChEBI,Hot Ligand,Species,Source,Reference 
D2,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=DRD2,CIS-FLUPENTHIXOL,N/A,0.6,http://www.ncbi.nlm.nih.gov/pccompound?term=53772-82-0,N/A,125I-Epidepride,HUMAN,HIPPOCAMPUS,http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=1828505&dopt=Abstract#http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=1828505&dopt=Abstract# 
D2,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=DRD2,CIS-FLUPENTHIXOL,N/A,2.3,http://www.ncbi.nlm.nih.gov/pccompound?term=53772-82-0,N/A,125I-Epidepride,HUMAN,FR. CORTEX,http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=1828505&dopt=Abstract#http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=1828505&dopt=Abstract# 
D2,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=DRD2,CIS-FLUPENTHIXOL,N/A,0.66,http://www.ncbi.nlm.nih.gov/pccompound?term=53772-82-0,N/A,125I-Epidepride,HUMAN,Putamen,http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=1828505&dopt=Abstract#http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=1828505&dopt=Abstract# 
D2,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=DRD2,CIS-FLUPENTHIXOL,N/A,0.73,http://www.ncbi.nlm.nih.gov/pccompound?term=53772-82-0,N/A,125I-Epidepride,HUMAN,N. Accumbens,http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=1828505&dopt=Abstract#http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=1828505&dopt=Abstract# 
D2,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=DRD2,CIS-FLUPENTHIXOL,N/A,2.5,http://www.ncbi.nlm.nih.gov/pccompound?term=53772-82-0,N/A,125I-Epidepride,HUMAN,Temp. Cortex,http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=1828505&dopt=Abstract#http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=1828505&dopt=Abstract# 
D2,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=DRD2,CIS-FLUPENTHIXOL,N/A,1.5,http://www.ncbi.nlm.nih.gov/pccompound?term=53772-82-0,N/A,125I-IODOSULPRIDE,HUMAN,CLONED,http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8301582&dopt=Abstract#http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8301582&dopt=Abstract# 
D2,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=DRD2,CIS-FLUPENTHIXOL,N/A,1.5,http://www.ncbi.nlm.nih.gov/pccompound?term=53772-82-0,N/A,3H-YM 09151-2,HUMAN,CLONED,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9686407&dopt=Abstract 
D2,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=DRD2,CIS-FLUPENTHIXOL,N/A,0.2,http://www.ncbi.nlm.nih.gov/pccompound?term=53772-82-0,N/A,R-SAT,HUMAN,CLONED,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=pubmed&dopt=Abstract&list_uids=16135699&query_hl=4 
D2,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=DRD2,CIS-FLUPENTHIXOL,N/A,0.5,http://www.ncbi.nlm.nih.gov/pccompound?term=53772-82-0,N/A,R-SAT,HUMAN,CLONED,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=pubmed&dopt=Abstract&list_uids=16135699&query_hl=4 
D2,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=DRD2,CIS-FLUPENTHIXOL,N/A,0.14,http://www.ncbi.nlm.nih.gov/pccompound?term=53772-82-0,N/A,UNDEFINED,HUMAN,CLONED,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9021894&dopt=Abstract 
