Receptor,UniGene,Test Ligand Name,NCI,Ki (nM),PubChem,ChEBI,Hot Ligand,Species,Source,Reference 
D1,N/A,OLANZAPINE,N/A,128,http://www.ncbi.nlm.nih.gov/pccompound?term=132539-06-1,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=134197,3H-SCH23390,HUMAN,CLONED,Snyder et al.  2015 
D1,N/A,OLANZAPINE,N/A,23.988,http://www.ncbi.nlm.nih.gov/pccompound?term=132539-06-1,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=134197,3H-SCH233930,HUMAN,CLONED,https://journals.prous.com/journals/servlet/xmlxsl/pk_journals.xml_summaryn_pr?p_JournalId=6&p_RefId=908643 
D1,N/A,OLANZAPINE,N/A,52,http://www.ncbi.nlm.nih.gov/pccompound?term=132539-06-1,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=134197,3H-SCH233930,HUMAN,CLONED,Hirose  Tsuyoshi.  et. al  2005 
D1,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=DRD1,OLANZAPINE,N/A,35,http://www.ncbi.nlm.nih.gov/pccompound?term=132539-06-1,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=134197,3H-SCH23390,HUMAN,CLONED,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8997630&dopt=Abstract 
D1,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=DRD1,OLANZAPINE,N/A,58,http://www.ncbi.nlm.nih.gov/pccompound?term=132539-06-1,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=134197,3H-SCH23390,HUMAN,CLONED,http://pdsp.med.unc.edu/pdsp.php 
D1,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=DRD1,OLANZAPINE,N/A,118,http://www.ncbi.nlm.nih.gov/pccompound?term=132539-06-1,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=134197,3H-SCH23390,HUMAN,CLONED,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=pubmed&dopt=Abstract&list_uids=15771415&query_hl=1 
D1,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=DRD1,OLANZAPINE,N/A,58,http://www.ncbi.nlm.nih.gov/pccompound?term=132539-06-1,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=134197,3H-SCH23390,HUMAN,CLONED,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=pubmed&dopt=Abstract&list_uids=15615863&query_hl=1 
D1,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=DRD1,OLANZAPINE,N/A,25,http://www.ncbi.nlm.nih.gov/pccompound?term=132539-06-1,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=134197,3H-SCH23390,HUMAN,Corpus Striatum,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=pubmed&dopt=Abstract&list_uids=8822531 
D1,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=DRD1,OLANZAPINE,N/A,52.481,http://www.ncbi.nlm.nih.gov/pccompound?term=132539-06-1,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=134197,3H-SCH233930,HUMAN,CLONED,https://www.sciencedirect.com/science/article/pii/S0014299901011888?via%3Dihub 
D1,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=DRD1,OLANZAPINE,N/A,52,http://www.ncbi.nlm.nih.gov/pccompound?term=132539-06-1,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=134197,UNDEFINED,HUMAN,UNDEFINED,https://www.ncbi.nlm.nih.gov/pubmed/18595716 
