Receptor,UniGene,Test Ligand Name,NCI,Ki (nM),PubChem,ChEBI,Hot Ligand,Species,Source,Reference 
5-HT2A,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR2A,RISPERIDONE,N/A,0.42,http://www.ncbi.nlm.nih.gov/pccompound?term=106266-06-2,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=107714,125I-DOI,HUMAN,CLONED,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8632342&dopt=Abstract 
5-HT2A,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR2A,RISPERIDONE,N/A,0.2,http://www.ncbi.nlm.nih.gov/pccompound?term=106266-06-2,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=107714,125I-DOI,HUMAN,CLONED,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=pubmed&dopt=Abstract&list_uids=15615863&query_hl=1 
5-HT2A,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR2A,RISPERIDONE,N/A,0.81,http://www.ncbi.nlm.nih.gov/pccompound?term=106266-06-2,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=107714,125I-R091150,HUMAN,CLONED,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=pubmed&dopt=Abstract&list_uids=15771415&query_hl=1 
5-HT2A,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR2A,RISPERIDONE,N/A,0.43,http://www.ncbi.nlm.nih.gov/pccompound?term=106266-06-2,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=107714,125I-R091150,HUMAN,CLONED,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=pubmed&dopt=Abstract&list_uids=7520908&query_hl=5 
5-HT2A,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR2A,RISPERIDONE,N/A,0.52,http://www.ncbi.nlm.nih.gov/pccompound?term=106266-06-2,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=107714,125I-R091150,HUMAN,CLONED,http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8935801&dopt=Abstract#http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8935801&dopt=Abstract# 
5-HT2A,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR2A,RISPERIDONE,N/A,7,http://www.ncbi.nlm.nih.gov/pccompound?term=106266-06-2,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=107714,35S-GTPGammaS,HUMAN,CLONED,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=pubmed&dopt=Abstract&list_uids=10227113 
5-HT2A,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR2A,RISPERIDONE,N/A,0.49,http://www.ncbi.nlm.nih.gov/pccompound?term=106266-06-2,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=107714,3H-KETANSERIN,HUMAN,CLONED,http://www.nature.com/tpj/journal/v6/n1/pdf/6500342a.pdf 
5-HT2A,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR2A,RISPERIDONE,N/A,0.5,http://www.ncbi.nlm.nih.gov/pccompound?term=106266-06-2,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=107714,3H-KETANSERIN,HUMAN,CLONED,Snyder et al.  2015 
5-HT2A,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR2A,RISPERIDONE,N/A,0.64,http://www.ncbi.nlm.nih.gov/pccompound?term=106266-06-2,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=107714,3H-KETANSERIN,HUMAN,CLONED,http://pdsp.med.unc.edu/pdsp.php 
5-HT2A,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR2A,RISPERIDONE,N/A,0.14,http://www.ncbi.nlm.nih.gov/pccompound?term=106266-06-2,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=107714,3H-KETANSERIN,HUMAN,CLONED,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9015795&dopt=Abstract 
5-HT2A,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR2A,RISPERIDONE,N/A,0.5,http://www.ncbi.nlm.nih.gov/pccompound?term=106266-06-2,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=107714,3H-KETANSERIN,HUMAN,CLONED,https://www.sciencedirect.com/science/article/pii/S0223523418300023?via%3Dihub#! 
5-HT2A,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR2A,RISPERIDONE,N/A,0.29,http://www.ncbi.nlm.nih.gov/pccompound?term=106266-06-2,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=107714,3H-KETANSERIN,HUMAN,CLONED,Hirose  Tsuyoshi.  et. al  2005 
5-HT2A,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR2A,RISPERIDONE,N/A,0.205,http://www.ncbi.nlm.nih.gov/pccompound?term=106266-06-2,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=107714,3H-KETANSERIN,HUMAN,CLONED,Ishibashi  Tadashi.  et. al  2010 
5-HT2A,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR2A,RISPERIDONE,N/A,0.437,http://www.ncbi.nlm.nih.gov/pccompound?term=106266-06-2,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=107714,3H-KETANSERIN,HUMAN,CLONED,https://journals.prous.com/journals/servlet/xmlxsl/pk_journals.xml_summaryn_pr?p_JournalId=6&p_RefId=908643 
5-HT2A,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR2A,RISPERIDONE,N/A,0.288,http://www.ncbi.nlm.nih.gov/pccompound?term=106266-06-2,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=107714,3H-KETANSERIN,HUMAN,CLONED,https://www.sciencedirect.com/science/article/pii/S0014299901011888?via%3Dihub 
5-HT2A,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR2A,RISPERIDONE,N/A,0.2,http://www.ncbi.nlm.nih.gov/pccompound?term=106266-06-2,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=107714,3H-KETANSERIN,HUMAN,CLONED,http://www.ncbi.nlm.nih.gov/pubmed/16051647 
5-HT2A,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR2A,RISPERIDONE,N/A,0.17,http://www.ncbi.nlm.nih.gov/pccompound?term=106266-06-2,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=107714,3H-KETANSERIN,HUMAN,CLONED,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=12629531&dopt=Abstract 
5-HT2A,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR2A,RISPERIDONE,N/A,0.2,http://www.ncbi.nlm.nih.gov/pccompound?term=106266-06-2,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=107714,3H-KETANSERIN,HUMAN,CLONED,http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B6W84-42KD8D9-7&_coverDate=01%2F31%2F2001&_alid=93617739&_rdoc=1&_fmt=&_orig=search&_qd=1&_cdi=6644&_sort=d&view=c&_acct=C000050221&_version=1&_urlVersion=0&_userid=10&md5=5e5748d1ff8f5317fb6669f7ddc989f6 
5-HT2A,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR2A,RISPERIDONE,N/A,0.15,http://www.ncbi.nlm.nih.gov/pccompound?term=106266-06-2,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=107714,3H-KETANSERIN,HUMAN,BRAIN,http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=11132243&dopt=Abstract 
5-HT2A,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR2A,RISPERIDONE,N/A,1.1,http://www.ncbi.nlm.nih.gov/pccompound?term=106266-06-2,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=107714,3H-Methylspiperone,HUMAN,CLONED,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=12176106&dopt=Abstract 
5-HT2A,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR2A,RISPERIDONE,N/A,1.1,http://www.ncbi.nlm.nih.gov/pccompound?term=106266-06-2,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=107714,3H-RP 62203,HUMAN,CLONED,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8997630&dopt=Abstract 
5-HT2A,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR2A,RISPERIDONE,N/A,0.19,http://www.ncbi.nlm.nih.gov/pccompound?term=106266-06-2,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=107714,3H-SPIPERONE,HUMAN,CLONED,http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B6W84-42KD8D9-7&_coverDate=01%2F31%2F2001&_alid=93617739&_rdoc=1&_fmt=&_orig=search&_qd=1&_cdi=6644&_sort=d&view=c&_acct=C000050221&_version=1&_urlVersion=0&_userid=10&md5=5e5748d1ff8f5317fb6669f7ddc989f6 
5-HT2A,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR2A,RISPERIDONE,N/A,0.21,http://www.ncbi.nlm.nih.gov/pccompound?term=106266-06-2,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=107714,UNDEFINED,HUMAN,CLONED,http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B6W84-42KD8D9-7&_coverDate=01%2F31%2F2001&_alid=93617739&_rdoc=1&_fmt=&_orig=search&_qd=1&_cdi=6644&_sort=d&view=c&_acct=C000050221&_version=1&_urlVersion=0&_userid=10&md5=5e5748d1ff8f5317fb6669f7ddc989f6 
5-HT2A,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR2A,RISPERIDONE,N/A,0.29,http://www.ncbi.nlm.nih.gov/pccompound?term=106266-06-2,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=107714,UNDEFINED,HUMAN,UNDEFINED,https://www.ncbi.nlm.nih.gov/pubmed/18595716 
