Receptor,UniGene,Test Ligand Name,NCI,Ki (nM),PubChem,ChEBI,Hot Ligand,Species,Source,Reference 
5-HT6,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR6,RISPERIDONE,N/A, 2 400.000,http://www.ncbi.nlm.nih.gov/pccompound?term=106266-06-2,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=107714,3H-LSD,HUMAN,CLONED,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8522988&dopt=Abstract 
5-HT6,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR6,RISPERIDONE,N/A, 2 400.000,http://www.ncbi.nlm.nih.gov/pccompound?term=106266-06-2,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=107714,3H-LSD,HUMAN,CLONED,http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9430133&dopt=Abstract#http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9430133&dopt=Abstract# 
5-HT6,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR6,RISPERIDONE,N/A, 2 240.670,http://www.ncbi.nlm.nih.gov/pccompound?term=106266-06-2,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=107714,3H-LSD,HUMAN,CLONED,http://pdsp.med.unc.edu/pdsp.php 
5-HT6,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR6,RISPERIDONE,N/A, 1 188.000,http://www.ncbi.nlm.nih.gov/pccompound?term=106266-06-2,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=107714,3H-LSD,HUMAN,CLONED,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=12629531&dopt=Abstract 
5-HT6,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR6,RISPERIDONE,N/A, 1 995.262,http://www.ncbi.nlm.nih.gov/pccompound?term=106266-06-2,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=107714,3H-LSD,HUMAN,CLONED,https://www.sciencedirect.com/science/article/pii/S0014299901011888?via%3Dihub 
5-HT6,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR6,RISPERIDONE,N/A, 1 584.893,http://www.ncbi.nlm.nih.gov/pccompound?term=106266-06-2,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=107714,3H-LSD,HUMAN,CLONED,https://journals.prous.com/journals/servlet/xmlxsl/pk_journals.xml_summaryn_pr?p_JournalId=6&p_RefId=908643 
5-HT6,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR6,RISPERIDONE,N/A, 2 000.000,http://www.ncbi.nlm.nih.gov/pccompound?term=106266-06-2,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=107714,3H-LSD,HUMAN,CLONED,Hirose  Tsuyoshi.  et. al  2005 
5-HT6,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR6,RISPERIDONE,N/A, 1 107.000,http://www.ncbi.nlm.nih.gov/pccompound?term=106266-06-2,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=107714,3H-LSD,HUMAN,CLONED,https://www.sciencedirect.com/science/article/pii/S0223523418300023?via%3Dihub#! 
5-HT6,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR6,RISPERIDONE,N/A, 1 260.000,http://www.ncbi.nlm.nih.gov/pccompound?term=106266-06-2,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=107714,3H-LSD,HUMAN,CLONED,https://pubmed.ncbi.nlm.nih.gov/30383372/ 
5-HT6,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR6,RISPERIDONE,N/A,962,http://www.ncbi.nlm.nih.gov/pccompound?term=106266-06-2,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=107714,3H-LSD,HUMAN,CLONED,http://pdsp.med.unc.edu/pdsp.php 
5-HT6,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR6,RISPERIDONE,N/A, 2 000.000,http://www.ncbi.nlm.nih.gov/pccompound?term=106266-06-2,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=107714,UNDEFINED,HUMAN,UNDEFINED,https://www.ncbi.nlm.nih.gov/pubmed/18595716 
5-HT6,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=unigene&dispmax=100&term=HTR6,RISPERIDONE,N/A, 1 190.000,http://www.ncbi.nlm.nih.gov/pccompound?term=106266-06-2,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=107714,[3H]lysergic acid diethylamide,HUMAN,CLONED,https://pubmed.ncbi.nlm.nih.gov/32828898/ 
